Date;Calf;Behaviour;Interaction;IDs
03/09/2008 15:17;2;P;N;30L 2L 15L 16L
17/09/2008 12:41;0;P;S;8L 10L 22L
17/09/2008 13:27;0;P;N;30L 20L 1L
17/09/2008 14:20;0;P;S;49L 12L
17/09/2008 15:35;0;P;S;8L 2L 40L
17/09/2008 16:15;0;P;N;15L 33L
17/09/2008 17:18;1;P;N;24L 42L
17/09/2008 17:27;0;P;N;41L 48L
18/09/2008 07:54;0;DP;N;41L 27L 52L
18/09/2008 10:43;0;P;N;50L 43L
18/09/2008 10:48;1;P;N;32L 18L 9L
18/09/2008 13:18;1;P;N;11L 38L
18/09/2008 13:50;0;P;N;22L 3L
18/09/2008 14:50;0;P;N;49L 12L
18/09/2008 15:12;0;DP;N;29L 15L
25/09/2008 07:46;1;DP;N;18L 41L
25/09/2008 08:02;2;DP;N;31L 17L
25/09/2008 08:36;0;P;N;20L 3L
25/09/2008 11:27;0;P;N;9L 29L
25/09/2008 12:09;1;P;S;2L 10L 4L 11L
07/10/2008 07:50;0;D;N;37L 38L
07/10/2008 07:58;0;DP;N;24L 28L
07/10/2008 08:04;0;P;N;31L 29L
07/10/2008 08:50;0;P;N;17L 14L
07/10/2008 09:44;1;P;N;18L 3L
07/10/2008 11:33;0;DP;N;1L 4L
07/10/2008 12:16;1;P;S;12L 7L
28/10/2008 06:47;1;DP;N;9L 32L
28/10/2008 08:49;0;D;N;48L 50L
28/10/2008 09:28;0;P;N;20L 38L 40L
28/10/2008 09:56;0;P;N;4L 18L 42L 21L
28/10/2008 11:35;1;P;N;14L 1L 3L
04/11/2008 06:36;0;D;N;43L 4L
04/11/2008 06:47;0;P;N;2L 39L 24L 11L 8L
04/11/2008 08:23;1;P;N;42L 48L 50L
04/11/2008 09:45;1;P;N;9L 32L
04/11/2008 10:02;1;P;N;18L 27L
04/11/2008 10:20;0;P;S;24L 2L
04/11/2008 12:07;0;P;S;28L 16L 49L
11/11/2008 06:45;0;DP;N;22L 17L
11/11/2008 07:47;0;P;N;3L 26L
11/11/2008 08:15;2;P;N;39L 42L
11/11/2008 08:35;1;P;N;41L 28L 4L
11/11/2008 10:15;0;P;N;38L 21L
11/11/2008 10:36;1;P;N;43L 18L
11/11/2008 11:02;0;P;N;20L 37L 6L
11/11/2008 11:36;0;P;N;1L 10L
11/11/2008 11:49;0;P;S;29L 49L 2L
11/11/2008 12:26;0;DP;N;22L 40L 7L
17/11/2008 12:45;1;P;N;12L 49L 18L
17/11/2008 13:10;0;P;S;31L 33L
17/11/2008 14:21;0;P;N;3L 26L
17/11/2008 14:55;0;D;N;8L 34L
17/11/2008 15:12;0;P;S;27L 2L
18/11/2008 06:35;1;P;N;49L 52L
18/11/2008 06:45;0;D;N;1L 40L 8L 10L
18/11/2008 07:39;0;P;N;26L 21L 38L 37L
18/11/2008 11:00;0;P;S;49L 2L 7L 28L
18/11/2008 11:39;0;D;N;48L 41L
18/11/2008 11:58;1;P;N;18L 16L
18/11/2008 12:09;1;P;S;24L 14L 4L
02/12/2008 06:23;0;D;N;16L 15L 1L
02/12/2008 06:31;1;D;N;28L 49L 12L
02/12/2008 06:37;1;D;N;24L 2L
02/12/2008 06:43;1;D;N;9L 39L 32L
02/12/2008 06:45;0;D;N;33L 40L 10L
02/12/2008 06:57;0;D;N;22L 6L
02/12/2008 07:18;0;P;N;38L 4L 21L
02/12/2008 09:20;0;P;N;26L 20L
02/12/2008 09:54;0;P;N;7L 41L
02/12/2008 10:22;0;P;S;14L 37L
12/12/2008 12:29;0;P;S;24L 2L 33L
12/12/2008 13:07;0;P;S;7L 15L
12/12/2008 15:31;0;P;S;49L 43L
12/12/2008 16:30;1;P;N;29L 18L
13/12/2008 08:01;0;P;N;43L 26L 6L 39L 41L
13/12/2008 08:17;1;P;N;8L 3L
13/12/2008 08:28;0;D;N;37L 40L
13/12/2008 08:44;0;P;S;21L 20L 38L
13/12/2008 11:10;1;P;S;11L 33L
13/12/2008 11:26;0;P;S;7L 1L 15L
13/12/2008 11:39;1;P;N;27L 12L
13/12/2008 13:58;0;P;N;28L 31L 17L
19/12/2008 09:39;0;P;N;26L 21L
19/12/2008 09:49;0;P;N;16L 20L
19/12/2008 10:06;0;DP;N;37L 2L 40L 7L
19/12/2008 10:28;0;P;S;15L 49L
19/12/2008 11:13;1;P;N;31L 3L 39L
19/12/2008 11:17;1;P;N;12L 28L
08/01/2009 16:06;0;P;S;3L 16L 11L
08/01/2009 16:24;0;P;N;48L 12L 49L
09/01/2009 07:38;0;P;N;16L 10L
09/01/2009 07:56;0;DP;N;48L 32L
09/01/2009 08:08;1;DP;N;18L 33L
09/01/2009 08:55;0;DP;N;4L 38L
09/01/2009 09:02;0;P;N;32L 21L 20L
09/01/2009 11:18;0;DP;N;42L 39L
23/01/2009 07:11;1;P;N;43L 20L
23/01/2009 10:42;2;DP;N;40L 8L
23/01/2009 11:29;1;P;N;12L 49L 38L
04/02/2009 13:57;0;P;N;10L 52L
04/02/2009 14:00;0;P;N;48L 50L
04/02/2009 16:18;0;P;S;6L 15L
05/02/2009 06:50;0;P;N;48L 34L
05/02/2009 07:20;0;P;S;14L 10L 33L
05/02/2009 08:12;1;P;N;8L 4L
05/02/2009 10:32;0;DP;N;38L 43L
19/02/2009 08:32;1;P;N;3L 40L
19/02/2009 09:03;0;P;N;37L 4L
19/02/2009 11:06;0;P;S;15L 33L
19/02/2009 12:12;0;DP;N;3L 27L 32L
04/03/2009 08:01;0;P;N;26L 21L 27L
04/03/2009 08:47;0;P;N;48L 38L 50L 43L
04/03/2009 10:34;0;P;N;3L 42L 39L
04/03/2009 12:09;1;P;N;37L 40L
04/03/2009 13:32;0;P;S;11L 28L
21/03/2009 15:37;0;D;N;3L 37L
21/03/2009 16:22;0;P;N;22L 52L 12L
22/03/2009 07:23;2;P;N;52L 9L
22/03/2009 08:00;0;D;N;41L 10L
22/03/2009 09:04;0;DP;N;26L 21L
22/03/2009 09:06;0;P;N;39L 43L 42L 8L
22/03/2009 10:07;0;D;N;22L 6L
22/03/2009 12:18;1;P;N;12L 3L 49L
22/03/2009 12:31;0;P;S;40L 33L 11L
11/04/2009 11:23;0;D;N;21L 41L 26L
11/04/2009 12:50;1;DP;N;17L 42L 6L
11/04/2009 14:05;2;P;N;52L 27L 37L 26L
